Date,TEMPHELPS,HTRUCKSSA,CES7072200001,AWHAEMAN,TOTBUSSMSA,ICSA,RAILFRTCARLOADSD11,ISRATIO,ORRI
1995-01-31,1739.4,36.5,7293.0,,639387.0,324000.0,,1.45,
1995-02-28,1746.6,33.7,7303.9,,640384.0,336000.0,,1.46,
1995-03-31,1737.1,32.6,7324.0,,636535.0,332000.0,,1.48,
1995-04-30,1729.7,33.2,7343.0,,644203.0,365000.0,,1.48,
1995-05-31,1718.2,32.3,7350.4,,643226.0,374000.0,,1.49,
1995-06-30,1716.5,32.4,7387.3,,650120.0,358000.0,,1.48,
1995-07-31,1719.7,31.1,7412.4,,647962.0,351000.0,,1.49,-2.0
1995-08-31,1739.4,30.2,7428.4,,652848.0,359000.0,,1.48,1.0
1995-09-30,1770.8,31.6,7450.5,,659483.0,355000.0,,1.47,4.0
1995-10-31,1770.8,32.5,7430.0,,657032.0,377000.0,,1.49,3.0
1995-11-30,1772.0,30.7,7458.2,,660742.0,379000.0,,1.48,1.0
1995-12-31,1776.9,33.4,7471.0,,672418.0,359000.0,,1.45,4.0
1996-01-31,1749.8,30.2,7475.2,,655885.0,387000.0,,1.5,1.0
1996-02-29,1792.7,31.0,7482.1,,654977.0,365000.0,,1.5,-2.0
1996-03-31,1795.3,30.4,7512.0,,670379.0,393000.0,,1.46,2.0
1996-04-30,1812.7,29.5,7521.4,,672605.0,343000.0,,1.46,4.0
1996-05-31,1832.4,30.7,7540.6,,679351.0,343000.0,,1.45,3.0
1996-06-30,1851.8,32.7,7546.0,,682257.0,337000.0,,1.44,6.0
1996-07-31,1869.8,31.2,7567.6,,682166.0,327000.0,,1.45,6.0
1996-08-31,1883.9,29.8,7580.0,,684619.0,329000.0,,1.45,4.0
1996-09-30,1891.1,29.2,7583.9,,690137.0,348000.0,,1.44,2.0
1996-10-31,1876.1,28.0,7601.1,,690043.0,352000.0,,1.44,2.0
1996-11-30,1908.9,26.6,7621.7,,697804.0,332000.0,,1.43,4.0
1996-12-31,1926.2,27.8,7628.9,,694666.0,357000.0,,1.43,2.0
1997-01-31,1946.6,29.2,7640.5,,699071.0,340000.0,,1.43,2.0
1997-02-28,1972.6,29.6,7653.3,,712461.0,322000.0,,1.41,6.0
1997-03-31,2004.6,31.0,7664.2,,713476.0,325000.0,,1.4,6.0
1997-04-30,2027.6,30.3,7670.0,,711885.0,337000.0,,1.41,4.0
1997-05-31,2049.2,30.9,7684.8,,709697.0,321000.0,,1.42,6.0
1997-06-30,2060.0,28.7,7694.2,,716965.0,322000.0,,1.42,4.0
1997-07-31,2088.5,31.2,7677.1,,722526.0,306000.0,,1.41,5.0
1997-08-31,2066.0,31.9,7701.1,,722253.0,332000.0,,1.41,2.0
1997-09-30,2082.9,32.1,7723.2,,726551.0,317000.0,,1.41,5.0
1997-10-31,2110.5,32.9,7709.7,,725197.0,306000.0,,1.42,5.0
1997-11-30,2139.5,33.7,7727.3,,731316.0,318000.0,,1.41,6.0
1997-12-31,2163.5,34.6,7728.5,,728227.0,303000.0,,1.42,4.0
1998-01-31,2175.1,32.4,7741.5,,726837.0,315000.0,,1.43,4.0
1998-02-28,2189.9,32.7,7758.8,,734800.0,317000.0,,1.42,3.0
1998-03-31,2193.6,33.6,7766.3,,736014.0,312000.0,,1.43,2.0
1998-04-30,2201.7,33.5,7772.6,,735244.0,311000.0,,1.43,2.0
1998-05-31,2221.0,34.0,7810.8,,737323.0,322000.0,,1.43,0.0
1998-06-30,2251.6,32.7,7811.6,,731204.0,376000.0,,1.44,2.0
1998-07-31,2245.5,34.4,7817.9,,728267.0,335000.0,,1.45,0.0
1998-08-31,2265.9,36.5,7833.5,,732210.0,310000.0,,1.44,2.0
1998-09-30,2242.5,37.6,7850.7,,737858.0,294000.0,,1.44,4.0
1998-10-31,2284.9,37.7,7840.3,,744355.0,308000.0,,1.43,5.0
1998-11-30,2307.4,40.6,7865.2,,746606.0,310000.0,,1.43,6.0
1998-12-31,2332.8,38.8,7890.8,,750014.0,336000.0,,1.42,4.0
1999-01-31,2355.3,41.6,7898.8,,751889.0,305000.0,,1.42,6.0
1999-02-28,2387.4,44.2,7936.4,,760074.0,301000.0,,1.41,4.0
1999-03-31,2403.7,41.7,7942.1,,759888.0,298000.0,,1.42,6.0
1999-04-30,2416.6,42.3,7970.0,,764619.0,291000.0,,1.42,6.0
1999-05-31,2434.9,42.1,7989.6,,775084.0,303000.0,,1.4,6.0
1999-06-30,2454.2,42.3,8007.8,,776629.0,291000.0,,1.4,6.0
1999-07-31,2475.0,43.1,8005.9,,780306.0,300000.0,,1.4,4.0
1999-08-31,2482.6,43.3,8009.3,,789754.0,290000.0,,1.39,6.0
1999-09-30,2475.5,45.5,8012.2,,791094.0,306000.0,,1.39,4.0
1999-10-31,2550.5,45.4,8059.8,,799064.0,285000.0,,1.39,6.0
1999-11-30,2573.0,45.7,8086.0,,803494.0,288000.0,,1.39,6.0
1999-12-31,2603.5,44.1,8114.1,,811647.0,268000.0,,1.39,6.0
2000-01-31,2620.0,43.4,8115.6,,820052.0,285000.0,1373725.0,1.38,6.0
2000-02-29,2622.7,43.5,8125.8,,810415.0,280000.0,1368783.0,1.4,2.0
2000-03-31,2645.4,43.4,8164.6,,825825.0,272000.0,1363005.0,1.38,4.0
2000-04-30,2681.5,41.4,8170.4,,827963.0,291000.0,1354922.0,1.39,1.0
2000-05-31,2649.1,39.6,8162.5,,824369.0,280000.0,1359065.0,1.4,0.0
2000-06-30,2649.4,43.2,8174.6,,834404.0,296000.0,1346753.0,1.4,0.0
2000-07-31,2644.5,38.7,8188.4,,827699.0,298000.0,1353621.0,1.41,0.0
2000-08-31,2635.5,36.8,8218.3,,824013.0,312000.0,1354961.0,1.42,-4.0
2000-09-30,2640.0,34.1,8241.4,,839119.0,292000.0,1371645.0,1.4,-2.0
2000-10-31,2630.1,33.1,8174.8,,832624.0,301000.0,1351187.0,1.42,-2.0
2000-11-30,2634.4,31.2,8243.4,,827938.0,356000.0,1323561.0,1.43,-4.0
2000-12-31,2587.2,32.6,8283.2,,834938.0,353000.0,1315863.0,1.42,-2.0
